impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
openmp-dynamic-4096,34838000,1,16,2137395,0.000028,0.753247,0.042089,0.179711,0.975080,2,A
serial,34838000,1,1,2137395,0.000056,11.831932,0.000000,0.188895,12.020887,3,A
pthreads,34838000,1,16,2137395,0.000112,1.039643,0.003758,0.247253,1.290771,3,A
openmp-dynamic-4096,34838000,1,16,2137395,0.000033,0.749114,0.040521,0.258441,1.048114,3,A
serial,36826000,1,1,2251737,0.000056,12.804577,0.000000,0.240226,13.044862,1,A
pthreads,36826000,1,16,2251737,0.000127,1.140253,0.004871,0.249702,1.394957,1,A
openmp-dynamic-4096,36826000,1,16,2251737,0.000030,0.812718,0.042997,0.225437,1.081187,1,A
serial,36826000,1,1,2251737,0.000055,12.803294,0.000000,0.203719,13.007073,2,A
pthreads,36826000,1,16,2251737,0.000192,1.133183,0.005851,0.213479,1.352710,2,A
openmp-dynamic-4096,36826000,1,16,2251737,0.000033,0.814446,0.044204,0.211278,1.069965,2,A
serial,36826000,1,1,2251737,0.000056,12.799494,0.000000,0.220947,13.020502,3,A
pthreads,36826000,1,16,2251737,0.000145,1.156836,0.005198,0.229637,1.391821,3,A
openmp-dynamic-4096,36826000,1,16,2251737,0.000031,0.813575,0.044126,0.222215,1.079952,3,A
serial,38927000,1,1,2372254,0.000054,13.857287,0.000000,0.238222,14.095567,1,A
pthreads,38927000,1,16,2372254,0.000117,1.253402,0.005434,0.242915,1.501873,1,A
openmp-dynamic-4096,38927000,1,16,2372254,0.000034,0.883364,0.046655,0.273006,1.203064,1,A
serial,38927000,1,1,2372254,0.000055,13.947820,0.000000,0.228487,14.176366,2,A
pthreads,38927000,1,16,2372254,0.000136,1.623979,0.005362,0.221989,1.851473,2,A
openmp-dynamic-4096,38927000,1,16,2372254,0.000042,0.996161,0.052580,0.289410,1.338201,2,A
serial,38927000,1,1,2372254,0.000106,13.866181,0.000000,0.252828,14.119126,3,A
pthreads,38927000,1,16,2372254,0.000125,1.242884,0.006484,0.217143,1.466641,3,A
openmp-dynamic-4096,38927000,1,16,2372254,0.000037,0.881051,0.046592,0.222555,1.150240,3,A
serial,41149000,1,1,2499290,0.000066,14.991578,0.000000,0.322577,15.314224,1,A
pthreads,41149000,1,16,2499290,0.000111,1.328253,0.005830,0.283291,1.617491,1,A
openmp-dynamic-4096,41149000,1,16,2499290,0.000032,0.951939,0.048677,0.253230,1.253884,1,A
serial,41149000,1,1,2499290,0.000054,14.992663,0.000000,0.226552,15.219273,2,A
pthreads,41149000,1,16,2499290,0.000131,1.320301,0.004625,0.248009,1.573069,2,A
openmp-dynamic-4096,41149000,1,16,2499290,0.000029,0.945525,0.049643,0.272531,1.267733,2,A
serial,41149000,1,1,2499290,0.000060,14.995948,0.000000,0.272257,15.268270,3,A
pthreads,41149000,1,16,2499290,0.000120,1.327885,0.005738,0.231671,1.565418,3,A
openmp-dynamic-4096,41149000,1,16,2499290,0.000032,0.944772,0.048555,0.223426,1.216790,3,A
serial,43497000,1,1,2632821,0.000055,16.223173,0.000000,0.208236,16.431468,1,A
pthreads,43497000,1,16,2632821,0.000125,1.431607,0.005498,0.220107,1.657342,1,A
openmp-dynamic-4096,43497000,1,16,2632821,0.000030,1.029099,0.052255,0.236200,1.317588,1,A
serial,43497000,1,1,2632821,0.000051,16.244399,0.000000,0.228609,16.473062,2,A
pthreads,43497000,1,16,2632821,0.000195,2.115727,0.010264,0.268081,2.394276,2,A
openmp-dynamic-4096,43497000,1,16,2632821,0.000047,1.667144,0.054763,0.263359,1.985319,2,A
serial,43497000,1,1,2632821,0.000059,16.254698,0.000000,0.261197,16.515958,3,A
pthreads,43497000,1,16,2632821,0.000136,1.432760,0.006911,0.300953,1.740767,3,A
openmp-dynamic-4096,43497000,1,16,2632821,0.000027,1.028549,0.050816,0.282886,1.362284,3,A
