impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,94601000,8,1,5467880,0.000008,0.000025,3.947175,0.009848,0.129774,0.239740,4.332443,1.001040,3,A
mpi-dynamic,100000000,8,1,5761455,0.000010,0.000020,3.995086,0.007409,0.129659,0.230411,4.362640,1.001037,1,A
mpi-dynamic,100000000,8,1,5761455,0.000008,0.000026,4.358925,0.008620,0.129004,0.231025,4.727652,1.000510,2,A
mpi-dynamic,100000000,8,1,5761455,0.000008,0.000017,4.257938,0.006715,0.125136,0.231791,4.623224,1.000415,3,A
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000007,0.000000,2.047945,0.000534,0.000000,0.058156,2.106651,1.000000,1,B
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000006,0.000000,2.069748,0.001588,0.000000,0.056261,2.127618,1.000000,2,B
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000007,0.000000,2.041990,0.001790,0.000000,0.056414,2.100218,1.000000,3,B
mpi-dynamic,30000000,2,1,1857859,0.000006,0.000000,2.071881,0.001916,0.024053,0.057987,2.155939,1.000000,1,B
mpi-dynamic,30000000,2,1,1857859,0.000016,0.000000,2.143848,0.003309,0.023451,0.061245,2.231914,1.000000,2,B
mpi-dynamic,30000000,2,1,1857859,0.000007,0.000000,2.460326,0.002677,0.028103,0.068037,2.559195,1.000000,3,B
mpi-dynamic,30000000,3,1,1857859,0.000007,0.000000,1.381435,0.003152,0.032613,0.075180,1.493831,1.000030,1,B
mpi-dynamic,30000000,3,1,1857859,0.000007,0.000000,1.283842,0.002830,0.029639,0.069228,1.385595,1.000113,2,B
mpi-dynamic,30000000,3,1,1857859,0.000008,0.000000,1.277461,0.001913,0.031052,0.073829,1.384294,1.000069,3,B
mpi-dynamic,30000000,4,1,1857859,0.000009,0.000000,0.931870,0.003265,0.036485,0.077739,1.050516,1.000386,1,B
mpi-dynamic,30000000,4,1,1857859,0.000008,0.000000,0.937735,0.002865,0.036070,0.079214,1.056365,1.000180,2,B
mpi-dynamic,30000000,4,1,1857859,0.000009,0.000001,0.940129,0.002966,0.036579,0.076637,1.058441,1.000340,3,B
mpi-dynamic,30000000,5,1,1857859,0.000028,0.000000,0.830042,0.002756,0.037207,0.080209,0.951252,1.000424,1,B
mpi-dynamic,30000000,5,1,1857859,0.000009,0.000000,0.879822,0.003297,0.036995,0.087119,1.012195,1.000446,2,B
mpi-dynamic,30000000,5,1,1857859,0.000008,0.000001,0.940427,0.003487,0.037294,0.081619,1.064562,1.000311,3,B
mpi-dynamic,30000000,6,1,1857859,0.000015,0.000001,0.780408,0.003990,0.036464,0.077765,0.898698,1.000540,1,B
mpi-dynamic,30000000,6,1,1857859,0.000011,0.000001,0.814955,0.003457,0.038768,0.081796,0.941264,1.001744,2,B
mpi-dynamic,30000000,6,1,1857859,0.000023,0.000002,0.781610,0.003535,0.036933,0.079396,0.901565,1.000575,3,B
mpi-dynamic,30000000,7,1,1857859,0.000013,0.000000,0.762653,0.006427,0.042667,0.086460,0.899572,1.002270,1,B
mpi-dynamic,30000000,7,1,1857859,0.000008,0.000001,0.760240,0.006144,0.042286,0.083554,0.893981,1.002752,2,B
mpi-dynamic,30000000,7,1,1857859,0.000010,0.000001,0.747106,0.006717,0.040211,0.081976,0.878787,1.001452,3,B
mpi-dynamic,30000000,8,1,1857859,0.000008,0.000018,0.715819,0.006799,0.041453,0.082645,0.853813,1.004670,1,B
mpi-dynamic,30000000,8,1,1857859,0.000009,0.000019,0.726444,0.004205,0.042034,0.084063,0.859775,1.006252,2,B
mpi-dynamic,30000000,8,1,1857859,0.000021,0.000025,0.729450,0.003618,0.041439,0.084298,0.858890,1.003099,3,B
mpi-dynamic,30000000,9,1,1857859,0.000008,0.000017,0.792493,0.003987,0.044681,0.086983,0.931596,1.003344,1,B
mpi-dynamic,30000000,9,1,1857859,0.000009,0.000028,0.706161,0.004142,0.041792,0.082923,0.835112,1.003473,2,B
mpi-dynamic,30000000,9,1,1857859,0.000008,0.000019,0.683118,0.004145,0.040674,0.085755,0.814844,1.001768,3,B
mpi-dynamic,30000000,10,1,1857859,0.000008,0.000019,0.792349,0.004797,0.047756,0.101224,0.949374,1.008080,1,B
mpi-dynamic,30000000,10,1,1857859,0.009837,0.000033,0.817426,0.007979,0.045109,0.094147,0.977590,1.006973,2,B
mpi-dynamic,30000000,10,1,1857859,0.000010,0.000020,0.827340,0.007762,0.044885,0.083140,0.990823,1.004538,3,B
mpi-dynamic,30000000,12,1,1857859,0.000011,0.000018,0.904126,0.005704,0.039377,0.078427,1.027837,1.001936,1,B
mpi-dynamic,30000000,12,1,1857859,0.000011,0.000019,1.096683,0.006903,0.042496,0.085220,1.231492,1.002381,2,B
mpi-dynamic,30000000,12,1,1857859,0.000008,0.000016,1.134098,0.011560,0.042661,0.094472,1.282980,1.000642,3,B
