impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
openmp-static-0,30000000,1,8,1857859,0.000008,0.586091,0.024776,0.059400,0.670278,1,C
openmp-static-0,30000000,1,8,1857859,0.000007,0.550469,0.024949,0.061881,0.637308,2,C
openmp-static-0,30000000,1,8,1857859,0.000008,0.553908,0.021902,0.060900,0.636721,3,C
openmp-static-4096,30000000,1,8,1857859,0.000008,0.504178,0.025280,0.061533,0.591002,1,C
openmp-static-4096,30000000,1,8,1857859,0.000012,0.519681,0.025763,0.062191,0.607650,2,C
openmp-static-4096,30000000,1,8,1857859,0.000014,0.523158,0.022096,0.063199,0.608471,3,C
openmp-dynamic-4096,30000000,1,8,1857859,0.000012,0.506902,0.025127,0.062842,0.594885,1,C
openmp-dynamic-4096,30000000,1,8,1857859,0.000008,0.510144,0.026029,0.062938,0.599122,2,C
openmp-dynamic-4096,30000000,1,8,1857859,0.000011,0.513200,0.025519,0.064278,0.603011,3,C
openmp-guided-0,30000000,1,8,1857859,0.000009,0.521732,0.022774,0.062812,0.607330,1,C
openmp-guided-0,30000000,1,8,1857859,0.000008,0.512930,0.022139,0.062535,0.597614,2,C
openmp-guided-0,30000000,1,8,1857859,0.000009,0.508618,0.021315,0.063318,0.593262,3,C
